𒅳,𒅳,"KA x LU
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12173
(KA TIMES LU)"
𒅹,𒅗 x 𒈪𒉭,"KA x MI.NUNUZ
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12179
(KA TIMES MI PLUS NUNUZ)"
𒆅,𒅗 x 𒋦,"KA x SUḪUR
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12185
(KA TIMES SUHUR)"
𒆆,𒅗 x 𒋻,"KA x TAR
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12186
(KA TIMES TAR)"
𒆊,𒅗 x 𒌝 x 𒉺,"KA x UMUM x PA
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+1218A
(KA TIMES UMUM TIMES PA)"
𒆌,𒅗 x 𒍣,"KA x ZI
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+1218C
(KA TIMES ZI)"
𒅗𒀭𒉌𒋛,𒅗𒀭𒉌𒋛,"KA.AN.NI.SI
(KURKU2)
(ePSD; Akkadian Dictionary)",024+013+380+181,015+010+231+112,"U+12157 & U+1202D & U+1224C & U+122DB
(KA & AN & NI & SI)"
𒅗𒅗,𒅗𒅗,"KA.KA
(GUGU (Labat; MesZL: GUGU missing))
(ePSD; Akkadian Dictionary)",024+024,015+015,"U+12157 & U+12157
(KA & KA)"
𒅗𒆕,𒅗𒆕,"KA.GAG
(GUG6 (MesZL: Deimel differently), PIḪU3 (MesZL: ?; Labat: PIḪU3 = DUG.KA.GAG))
(ePSD; Akkadian Dictionary)",024+379,015+230,"U+12157 & U+12195
(KA & KAK)"
𒅗𒄭,𒅗𒄭,"KA.ḪI
(DEMA, DEMMA, DEMMU, DEMU, DIMA, DIMMA, DIMMU, DIMU (Labat; MesZL: DIMMU, DIMU missing))
(ePSD; Akkadian Dictionary)",024+631,015+396,"U+12157 & U+1212D
(KA & HI)"
𒅗𒁲,𒅗𒁲,"KA.DI
(IŠTARAN)
(ePSD; Akkadian Dictionary)",024+736,015+457,"U+12157 & U+12072
(KA & DI)"
𒅨,𒅨,"KA x GIR2
(MesZL: uncertain)
(ePSD; Akkadian Dictionary)",25,015 (sign KA),"U+12168
(KA TIMES GIR2)"
𒅲,𒅲,"TU6
(KA x LI; GELE3, GELI3, GILI3, MELE2, MELI2, MILI2 (MesZL: Deimel vague), MU7, SEG14 (MesZL: eventually KA x DUB2, KA x BALAG (no. 47), to be erased), SI18 (MesZL: also KA x DUB2, KA x BALAG), SIG14 (MesZL: eventually KA x DUB2, KA x BALAG (no. 47), to be erased), SUG7 (MesZL: Deimel differently), UŠ7 (MesZL: Deimel vague), ZUG4)
(ePSD; Akkadian Dictionary)",26,16,"U+12172
(KA TIMES LI)"
𒅗 x 𒌅,𒅗 x 𒌅,"KA x TU
(MesZL: variant of URU x TU (no. 72); ŠEG5 (MesZL: also URU x TU), ŠIG5 (MesZL: also URU x TU))
(ePSD; Akkadian Dictionary)",27,015 (sign KA),
𒅽,𒅽,"KA x RU
(GILI4, GILIB4)
(ePSD; Akkadian Dictionary)",28,015 (sign KA),"U+1217D
(KA TIMES RU)"
𒅜,𒅜,"UŠ11
(KA x BAD (MesZL: Labat UŠ12, with perhaps erroneous variants UŠ13 = KA x AŠ2 and UŠ14 = KA x PI; UŠ12, UŠ13 and UŠ14 are not occupied now); UḪ4, UŠ12 (Labat; MesZL: UŠ12 not occupied now))
(ePSD; Akkadian Dictionary)",29,17,"U+1215C
(KA TIMES BAD)"
𒅞,𒅞,"KA x BAR
(KA x MAŠ)
(ePSD; Akkadian Dictionary)",30,017a,"U+1215E
(KA TIMES BAR)"
𒅻,𒅻,"NUNDUM
(KA x NUN; NUMDU, NUMDUM, NUMDUN, NUNDU, NUNDUN)
(ePSD; Akkadian Dictionary)",31,18,"U+1217B
(KA TIMES NUN)"
𒅾,𒅾,"SU6
(KA x SA, variant of KA x EŠ; MANGAGA, SA17 (Labat: ?; MesZL: SA17 = ŠEG8 (no. 873)), SUL3, SUM4, SUN4 (MesZL; Labat: in index erroneously no. 8 (the sign is correct), in syllabary correctly), ZA8 (Labat: ?; MesZL: ZA8 missing))
(ePSD; Akkadian Dictionary)",32,018*,"U+1217E
(KA TIMES SA)"
𒅤,𒅤,"KA x KAR2
(MesZL: see also ŠUDU3 (KA x ŠU; no. 49); BA11 (MesZL: ?), BA12 (MesZL: read BA11, the meaning is not newly occupied), BU3 (MesZL; Labat: in index erroneously no. 26 (in MesZL 49; the sign is correct), in syllabary correctly), BU6 (MesZL: read BU3, the meaning is not newly occupied), BUM, BUZUR5, KAN6, KANA6, PU3 (MesZL; Labat: in index erroneously no. 26 (KA x ŠU, in MesZL 49), in syllabary correctly), PU4 (MesZL: read PU3, PU4 is not newly occupied), PUM, PUZUR5, ZUR8 (MesZL: ŠA (no. 566) and KA x KAR2 (no. 33)))
(ePSD; Akkadian Dictionary)",33,19,"U+12164
(KA TIMES GAN2 TENU)"
𒅤𒊭,𒅤𒊭,"PU3.ZUR8
(BUZUR4, PUZUR4)
(ePSD; Akkadian Dictionary)",033+566,019+353,"U+12164 & U+122AD
(KA TIMES GAN2 TENU & SHA)"
𒅚,𒅚,"KA x AD.KUG
(KA x AD.KU3; NIGRU (MesZL: Deimel vague))
(ePSD; Akkadian Dictionary)",34,20,"U+1215A
(KA TIMES AD PLUS KU3)"
